date,weather,minT,wind,maxT
2018-12-01,多云/多云,0,东南风1-2级/东南风1-2级,7
2018-12-02,雾/多云,2,北风1-2级/北风1-2级,8
2018-12-03,多云/多云,-3,北风3-4级/北风3-4级,8
2018-12-04,晴/多云,-6,西北风3-4级/西北风3-4级,4
2018-12-05,阴/多云,-4,南风1-2级/南风1-2级,0
2018-12-06,晴/晴,-9,西北风4-5级/西北风4-5级,-2
2018-12-07,晴/晴,-10,西北风4-5级/西北风4-5级,-5
2018-12-08,晴/多云,-10,西北风3-4级/西北风3-4级,-2
2018-12-09,多云/晴,-10,西南风1-2级/西南风1-2级,-1
2018-12-10,多云/多云,-7,东南风1-2级/东南风1-2级,0
2018-12-11,晴/晴,-10,西北风4-5级/西北风4-5级,-1
2018-12-12,晴/晴,-8,西南风1-2级/西南风1-2级,1
2018-12-13,晴/晴,-7,北风3-4级/北风3-4级,3
2018-12-14,晴/多云,-6,南风1-2级/南风1-2级,4
2018-12-15,霾/霾,-6,西风1-2级/西风1-2级,2
2018-12-16,晴/晴,-4,西北风3-4级/西北风3-4级,7
2018-12-17,晴/晴,-5,西南风1-2级/西南风1-2级,8
2018-12-18,晴/晴,-4,北风1-2级/北风1-2级,9
2018-12-19,晴/多云,-5,北风1-2级/北风1-2级,8
2018-12-20,多云/霾,-4,东南风1-2级/东南风1-2级,6
2018-12-21,多云/多云,-2,西南风1-2级/西南风1-2级,9
2018-12-22,多云/多云,-6,北风1-2级/北风1-2级,8
2018-12-23,晴/晴,-9,北风3-4级/北风3-4级,0
2018-12-24,晴/晴,-8,西南风1-2级/西南风1-2级,2
2018-12-25,晴/晴,-9,北风3-4级/北风3-4级,3
2018-12-26,晴/多云,-11,东风1-2级/东风1-2级,-2
2018-12-27,多云/晴,-12,北风4-5级/北风4-5级,-6
2018-12-28,晴/晴,-11,西北风3-4级/西北风3-4级,-4
2018-12-29,晴/晴,-12,北风1-2级/北风1-2级,-3
2018-12-30,晴/多云,-11,北风1-2级/北风1-2级,-2
2018-11-01,晴/晴,3,南风1-2级/南风1-2级,17
2018-11-02,晴/晴,4,南风1-2级/南风1-2级,15
2018-11-03,多云/多云,6,南风1-2级/南风1-2级,16
2018-11-04,小雨/多云,2,北风3-4级/北风3-4级,11
2018-11-05,多云/多云,2,东北风1-2级/东北风1-2级,10
2018-11-06,多云/多云,0,东北风1-2级/东北风1-2级,12
2018-11-07,多云/多云,2,南风1-2级/南风1-2级,12
2018-11-08,晴/晴,2,西南风1-2级/西南风1-2级,14
2018-11-09,晴/多云,1,西北风3-4级/西北风3-4级,16
2018-11-10,多云/多云,2,东南风1-2级/东南风1-2级,11
2018-11-11,晴/晴,1,西南风1-2级/西南风1-2级,14
2018-11-12,晴/晴,2,西南风1-2级/西南风1-2级,14
2018-11-13,多云/多云,5,东南风1-2级/东南风1-2级,13
2018-11-14,雾/多云,5,南风1-2级/南风1-2级,11
2018-11-15,阴/多云,1,北风3-4级/北风3-4级,10
2018-11-16,晴/多云,-2,北风1-2级/北风1-2级,8
2018-11-17,多云/晴,-2,南风1-2级/南风1-2级,9
2018-11-18,晴/晴,-3,西北风3-4级/西北风3-4级,11
2018-11-19,晴/多云,-2,西南风1-2级/西南风1-2级,10
2018-11-20,多云/多云,-1,东北风3-4级/东北风3-4级,10
2018-11-21,晴/晴,-3,西北风3-4级/西北风3-4级,9
2018-11-22,晴/多云,-3,南风1-2级/南风1-2级,8
2018-11-23,多云/多云,0,东北风1-2级/东北风1-2级,7
2018-11-24,晴/晴,-3,西南风1-2级/西南风1-2级,10
2018-11-25,晴/晴,-3,西南风1-2级/西南风1-2级,10
2018-11-26,浮尘/多云,0,西南风1-2级/西南风1-2级,10
2018-11-27,晴/多云,-3,北风3-4级/北风3-4级,9
2018-11-28,晴/晴,-3,北风1-2级/北风1-2级,8
2018-11-29,晴/晴,-4,南风1-2级/南风1-2级,7
2018-11-30,晴/晴,-3,西南风1-2级/西南风1-2级,8
2018-10-01,晴/晴,12,西北风4-5级/西北风4-5级,25
2018-10-02,晴/晴,10,北风1-2级/北风1-2级,24
2018-10-03,晴/晴,10,北风1-2级/北风1-2级,26
2018-10-04,晴/晴,12,东南风1-2级/东南风1-2级,25
2018-10-05,多云/多云,14,南风1-2级/南风1-2级,24
2018-10-06,晴/晴,8,北风3-4级/北风3-4级,20
2018-10-07,晴/晴,7,西南风1-2级/西南风1-2级,21
2018-10-08,多云/多云,9,东北风1-2级/东北风1-2级,21
2018-10-09,晴/晴,3,西北风4-5级/西北风4-5级,16
2018-10-10,多云/晴,4,东北风1-2级/东北风1-2级,17
2018-10-11,晴/多云,5,西南风1-2级/西南风1-2级,18
2018-10-12,多云/多云,8,西南风1-2级/西南风1-2级,20
2018-10-13,晴/晴,8,西南风1-2级/西南风1-2级,20
2018-10-14,多云/多云,10,南风1-2级/南风1-2级,20
2018-10-15,小雨/小雨,11,北风1-2级/北风1-2级,17
2018-10-16,多云/晴,7,北风1-2级/北风1-2级,17
2018-10-17,晴/晴,5,北风1-2级/北风1-2级,18
2018-10-18,晴/晴,5,南风1-2级/南风1-2级,18
2018-10-19,晴/多云,5,南风1-2级/南风1-2级,19
2018-10-20,多云/多云,7,南风1-2级/南风1-2级,18
2018-10-21,多云/晴,6,东南风1-2级/东南风1-2级,17
2018-10-22,多云/晴,5,西北风1-2级/西北风1-2级,19
2018-10-23,晴/晴,4,西南风1-2级/西南风1-2级,19
2018-10-24,晴/多云,6,南风1-2级/南风1-2级,21
2018-10-25,多云/晴,8,西风1-2级/西风1-2级,16
2018-10-26,晴/晴,3,西北风4-5级/西北风4-5级,14
2018-10-27,晴/多云,5,西南风1-2级/西南风1-2级,17
2018-10-28,多云/多云,4,西北风4-5级/西北风4-5级,18
2018-10-29,晴/晴,3,西北风3-4级/西北风3-4级,15
2018-10-30,晴/晴,1,北风1-2级/北风1-2级,16
2018-10-31,晴/晴,3,西南风1-2级/西南风1-2级,17
2018-09-01,多云/小雨,19,南风1-2级/南风1-2级,28
2018-09-02,多云/多云,19,南风1-2级/南风1-2级,27
2018-09-03,晴/晴,19,西北风4-5级/西北风4-5级,32
2018-09-04,晴/晴,18,西南风3-4级/西南风3-4级,30
2018-09-05,晴/多云,20,西南风3-4级/西南风3-4级,31
2018-09-06,晴/晴,18,西北风4-5级/西北风4-5级,27
2018-09-07,晴/晴,16,西北风3-4级/西北风3-4级,27
2018-09-08,多云/晴,15,北风1-2级/北风1-2级,27
2018-09-09,晴/晴,16,西南风1-2级/西南风1-2级,28
2018-09-10,多云/多云,19,南风1-2级/南风1-2级,28
2018-09-11,多云/多云,19,南风1-2级/南风1-2级,26
2018-09-12,多云/多云,18,南风1-2级/南风1-2级,29
2018-09-13,多云/多云,20,南风1-2级/南风1-2级,29
2018-09-14,多云/多云,19,西南风1-2级/西南风1-2级,28
2018-09-15,多云/多云,15,东北风3-4级/东北风3-4级,25
2018-09-16,晴/晴,14,北风1-2级/北风1-2级,25
2018-09-17,多云/多云,16,南风1-2级/南风1-2级,27
2018-09-18,阴/多云,17,西南风1-2级/西南风1-2级,25
2018-09-19,多云/多云,17,南风1-2级/南风1-2级,25
2018-09-20,多云/多云,16,南风1-2级/南风1-2级,27
2018-09-21,晴/晴,14,西北风4-5级/西北风4-5级,25
2018-09-22,晴/晴,13,西北风3-4级/西北风3-4级,24
2018-09-23,晴/晴,12,西北风4-5级/西北风4-5级,24
2018-09-24,晴/晴,11,南风1-2级/南风1-2级,23
2018-09-25,晴/多云,12,南风1-2级/南风1-2级,24
2018-09-26,多云/多云,14,南风1-2级/南风1-2级,24
2018-09-27,小雨/小雨,12,南风1-2级/南风1-2级,22
2018-09-28,多云/多云,11,南风3-4级/南风3-4级,24
2018-09-29,晴/晴,10,北风3-4级/北风3-4级,21
